Month,Year,Region,Salesperson,Target_Revenue
Jan,2024,North,Alice,2000
Jan,2024,South,Bob,1500
Jan,2024,West,Charlie,1800
Jan,2024,East,Alice,1600
Feb,2024,North,Bob,2100
Feb,2024,South,Charlie,1900
Feb,2024,West,Alice,2200
Feb,2024,East,Bob,1700
Mar,2024,North,Alice,2500
Mar,2024,South,Bob,2000
Mar,2024,West,Charlie,2300
Mar,2024,East,Alice,1800
Apr,2024,North,Bob,2400
Apr,2024,South,Charlie,2100
Apr,2024,West,Alice,2600
Apr,2024,East,Bob,1900
May,2024,North,Alice,2700
May,2024,South,Bob,2200
May,2024,West,Charlie,2500
May,2024,East,Alice,2000
